"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Households and NPISHs Final consumption expenditure per capita (constant 2015 US$)","NE.CON.PRVT.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15117.1250126973","","","","","","","","","",
"Africa Eastern and Southern","AFE","Households and NPISHs Final consumption expenditure per capita (constant 2015 US$)","NE.CON.PRVT.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","776.313048132522","764.474877715387","743.130661260826","739.294448919441","742.822520268611","767.181468106259","776.226233217085","783.831514821666","793.478038237243","791.610755306814","787.379116798764","796.563147602218","798.994808639984","810.849853332283","835.236189515999","868.298636872367","912.602862814831","938.204948533293","932.823064055961","927.291687663288","954.201366413299","956.752705740727","970.291019121784","979.336892476455","991.955410389224","995.246020477352","988.941827816973","1005.6729467671","1007.04121789956","995.806951115641","959.268144599358","991.228397284129","1007.90820622143","1009.28041916951","1015.39401789307",
"Afghanistan","AFG","Households and NPISHs Final consumption expenditure per capita (constant 2015 US$)","NE.CON.PRVT.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Western and Central","AFW","Households and NPISHs Final consumption expenditure per capita (constant 2015 US$)","NE.CON.PRVT.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Households and NPISHs Final consumption expenditure per capita (constant 2015 US$)","NE.CON.PRVT.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1571.97077825576","1597.74907850453","1553.98513570517","1672.80615392087","1651.08613748914","1710.0742232586","1748.42843231959","1899.35633515455","1900.4847561254","2006.29187784744","2115.25969934991","2190.95377451112","2365.94995313677","2041.45006087919","1971.21055469613","2248.72608307257","2261.45572183685","1961.33028933325","2124.21760546258","2341.17866581997","2503.62198836029","2761.3791987336","2830.93941682822",
"Albania","ALB","Households and NPISHs Final consumption expenditure per capita (constant 2015 US$)","NE.CON.PRVT.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1312.41328781974","1522.87187313081","1254.74340603606","1213.15314948999","1253.38638251212","1373.93215714894","1455.3930864387","1572.29545989804","1738.62564381472","1829.8179378557","1969.24169374881","2117.35655091154","2438.4819081169","2735.22412768351","2772.60920891883","2795.99899487477","2855.51718392836","2915.64229869794","2982.93284343139","3156.08020246221","3260.00799572181","3444.41471560082","3509.65146060851","3668.73182008575","3846.16405165681","3687.13640144424","3914.70577803866","4214.49366998202","4397.46564188663","4630.26833316415",
"Andorra","AND","Households and NPISHs Final consumption expenditure per capita (constant 2015 US$)","NE.CON.PRVT.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Households and NPISHs Final consumption expenditure per capita (constant 2015 US$)","NE.CON.PRVT.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2428.62043895455","2454.83656568406","2482.58449916789","2520.91367893576","2630.56872066164","2711.00853300361","2854.65035621211","3050.60289328207","3232.03435569964","3133.158812348","3060.9093283226","3092.40978051916","3174.00646744916","3188.54352342557","3275.91762874528","3267.9465232984","3301.25087636506","3333.44933407802","3312.29237929227","3366.65720480602","3226.41865237761","3322.3061623014","3423.1752632949","3505.66846930844","3541.73915018922",
"United Arab Emirates","ARE","Households and NPISHs Final consumption expenditure per capita (constant 2015 US$)","NE.CON.PRVT.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36429.9279461489","36409.6040243347","35049.0129078867","36966.8526413984","36034.54152827","38673.6769064343","38678.0971080246","38628.7761832936","26131.268054054","18543.1225280711","19903.9690998562","16839.6644924385","17532.9493528062","18724.7588632741","18055.0754448545","17734.5278680248","17667.5069927388","17469.8225883834","18404.1270564682","18296.7421541036","18406.8248279788","20888.4639347089","22906.4179237624","",
"Argentina","ARG","Households and NPISHs Final consumption expenditure per capita (constant 2015 US$)","NE.CON.PRVT.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6116.87888674423","6401.70726807443","6041.77397967512","6296.48453158619","6778.85126022464","6932.44804328059","6716.03909226092","6596.5639458779","6149.93705312323","5211.13553090667","5578.89503805421","6047.23318871609","6427.89528361693","7059.1901423301","7642.31712689844","8113.37906478233","7594.53415710634","8355.49290092823","9041.51261019774","9048.43219865067","9285.04973669387","8789.23429905508","9015.67238921452","8859.07204717978","9146.51175823056","8867.82553663996","8265.53268626385","7224.4052811056","7887.28296832706","8615.72949843391","8674.52932701109","8391.98427654404",
